id,K,topic,topic_category,title_gemini,Interaction,CCF_Lead,CCF_Max_Corr,p_E_to_R,p_R_to_E,Granger_Lag,Keywords,K_clean,topic_clean,Representative_Articles
11.0,20,11,6. 映像・メディア連動 (映画/CM/TV) 📺,映画・CM・TV音楽の舞台裏,No Interaction,Eが2ヶ月先行,-0.403234,0.354361,0.726586,1.0,"画面, 監督, cinema, cf, タモリ, 流れる, シーン, 主題歌, アフリカ, boz, 映画, ドル, 主演, ハーモニカ, ルーツ",20.0,11.0,"(1) [Th: 97.1%] [ADLIB 1981/5] CINEMA 画面ばかりじゃない。 ほら映画の中にはいい音楽もあるんだ...
(2) [Th: 97.0%] [ADLIB 1980/8] CINEMA 画面ばかりじゃない。 ほら映画の中にはいい音楽もあるんだ...
(3) [Th: 96.6%] [ADLIB 1981/5] CINEMA [個人情報] [個人情報] ●「ジャズ・シンガー」 これが3度目の映画化...
(4) [Th: 96.5%] [ADLIB 1980/5] CINEMA 画面ばかりじゃない。ほら映画の中にはいい音楽もあるんだ ...
(5) [Th: 96.4%] [ADLIB 1981/10] CINEMA 画面ばかりじゃない。 ほら映画の中にはいい音楽もあるんだ...
(6) [Th: 96.2%] [ADLIB 1980/9] CINEMA 画面ばかりじゃない。ほら映画の中にはいい音楽もあるんだ。...
(7) [Th: 95.8%] [ADLIB 1980/3] 画面ばかりじゃない。ほら映画の中にはいい音楽もあるんだ ●「地獄の黙示...
(8) [Th: 95.7%] [ADLIB 1980/6] CINEMA 画面ばかりじゃない。ほら映画の中にはいい音楽もあるんだ。..."
12.0,20,12,4. 雑誌編集・ファン心理・特典グッズ 🎁,読者と創る、音楽誌の舞台裏,No Interaction,Rが4ヶ月先行,0.630265,0.229672,0.239943,2.0,"表紙, 編集, 寄せる, 編集部, グラビア, cover, いかが, 提案, photo, 松永, 後記, イラスト, 本号, 大川, 苦情",20.0,12.0,"(1) [Th: 96.8%] [ADLIB 1974/7] アドリブ読者の広場 ●今号初登場のページですので、創刊号から第3号まで...
(2) [Th: 95.0%] [ADLIB 1977/7] 1977 Summer No.16 Editor = 安藤和正 松下佳...
(3) [Th: 95.0%] [ADLIB 1981/5] ...によっては可愛いと思います。 [個人情報]
(4) [Th: 95.0%] [ADLIB 1981/5] ...によっては可愛いと思います。 [個人情報]
(5) [Th: 94.4%] [ADLIB 1977/10] 1977 Autumn No.17 Editor=安藤和正 松下佳男 ...
(6) [Th: 94.1%] [ADLIB 1976/4] アドリブ読者の広場 ●ご意見,提案,苦情,質問,珍問。うれしかったこと...
(7) [Th: 94.1%] [ADLIB 1976/7] アドリブ読者の広場 ●ご意見,提案,苦情,質問,珍問。うれしかったこと...
(8) [Th: 93.8%] [ADLIB 1977/1] 読者の広場 ご意見、提案、苦情,質問,珍問,うれしかったこと、悲しかっ..."
13.0,20,13,5. ブラックミュージック・ジャンル論 ✊,黒人音楽探究！読者を誘う熱狂,Top-Down (E→R),Rが5ヶ月先行,-0.404341,0.0390765,0.723494,1.0,"ブラジル, ファイアー, アース・ウインド, サルサ, 吉田ルイ子, スーパー・スター, グラディス・ナイト, オハイオ・プレイヤーズ, ジョージ・ベンソン, ザ・ピップス, ew, 調査, ドナ・サマー, 研究, 徹底",20.0,13.0,"(1) [Th: 93.4%] [ADLIB 1978/4] ●ラジオ関西で放送中の「ソウル・パーティー」を聴いてみよう！！！ ラジ...
(2) [Th: 93.2%] [ADLIB 1978/4] ●ラジオ関西で放送中の「ソウル・パーティー」を聴いてみよう!!! ラジ...
(3) [Th: 85.8%] [ADLIB 1976/10] SPECIAL COLOR 世界初紹介徹底取材成功！！ マービン・ゲイ...
(4) [Th: 85.1%] [ADLIB 1978/1] ...途中で変わらないでしょうに! [個人情報]
(5) [Th: 82.8%] [ADLIB 1975/7] - マービン・ゲイ物語: 三浦 憲 ---199 - マービン・ゲイ完...
(6) [Th: 81.4%] [ADLIB 1978/1] ●今春来日アーティスト スタイリスティックス･････････････...
(7) [Th: 78.8%] [ADLIB 1978/4] Special Color ●5月来日直前インタビュー初紹介 ブラザー...
(8) [Th: 77.8%] [ADLIB 1978/7] Interviews Special Issue ボブ・ジェイムス ...."
14.0,20,14,4. 雑誌編集・ファン心理・特典グッズ 🎁,本屋で熱狂！音楽雑誌の時代,No Interaction,Rが5ヶ月先行,0.372021,0.885632,0.5343,1.0,"野口, 本屋, 買う, さま, 名付け親, ミーハー, がんばる, 毎月, 発売日, friendship, kylyn, お金, ページ, 本多, 読む",20.0,14.0,"(1) [Th: 97.5%] [ADLIB 1981/5] ...さんの意見を聞かせて下さい。 [個人情報]
(2) [Th: 97.5%] [ADLIB 1981/5] ...さんの意見を聞かせて下さい。 [個人情報]
(3) [Th: 95.2%] [ADLIB 1982/1] ...んも買ってみてはどうですか？ [個人情報]
(4) [Th: 95.1%] [ADLIB 1981/12] ...さっていたけど大丈夫ですか? [個人情報] [個人情報]
(5) [Th: 94.8%] [ADLIB 1981/7] ...す。ありがとうございました。 [個人情報]
(6) [Th: 93.3%] [ADLIB 1980/11] ...って下さい。期待しています。 [個人情報] [個人情報]
(7) [Th: 93.0%] [ADLIB 1981/5] ... 高中正義=[倫理情報] [個人情報] 3. 松岡直也=まつおかやおや 4. 土方隆行=[倫理情報]...
(8) [Th: 93.0%] [ADLIB 1981/5] ... 高中正義=[倫理情報] [個人情報] 3. 松岡直也=まつおかやおや 4. 土方隆行=[倫理情報]..."
15.0,20,15,5. ブラックミュージック・ジャンル論 ✊,洋楽指南、編集部の声,Top-Down (E→R),Rが1ヶ月先行,0.536357,0.022911,0.420157,1.0,"岩浪洋三, 湯川れい子, 紺野, 吉岡正晴, 水野さちこ, 吹田, 竹村淳, 靖治, 吉成, 鈴木道子, 一雄, 江原, 青木啓, 岡崎, 正通",20.0,15.0,"(1) [Th: 99.2%] [ADLIB 1974/1] 4 VIEWS ON ROCK & JAZZ RECORDS (1枚の...
(2) [Th: 98.7%] [ADLIB 1974/10] GUIDE TO FUNK & IT'S RECORDS 4 VIEW...
(3) [Th: 98.4%] [ADLIB 1976/1] 4 VIEWS ON NEW SOUND RECORDS メロー・マッ...
(4) [Th: 98.2%] [ADLIB 1977/10] New Disc Guide On Black Sounds ブラック...
(5) [Th: 98.2%] [ADLIB 1980/0] 本誌選出「'79ベスト・レコード」決定作発表 * '79クロスオーバー...
(6) [Th: 98.0%] [ADLIB 1977/7] 第16号担当者(ABC順・敬称略) = 穴沢よしえ、青木啓、江原一雄、...
(7) [Th: 98.0%] [ADLIB 1974/4] ●全米トップ・コンポ＆トップ・スター’74 ハービー・マン：小西啓 キ...
(8) [Th: 97.9%] [ADLIB 1981/2] 特別企画='80 ADLIB BEST RECORDS 本誌選出『'8..."
16.0,20,16,3. 奏法・技術・オーディオ・機材 🎧,スタジオ・プレイヤー奏法分析,No Interaction,Rが9ヶ月先行,-0.358109,0.63862,0.245765,1.0,"リック, ガッド, ラリー, play!, リチャード・ティー, 奏法, ドラマー, たたく, スティーブ・ガッド, シンセサイザー, エリック・ゲイル, ドラミング, 雑魚, ラルフ・マクドナルド, ベーシスト",20.0,16.0,"(1) [Th: 98.2%] [ADLIB 1980/11] 野口五郎のクロスオーバー・アンテナ ●ミュージシャンの演奏スタイルにつ...
(2) [Th: 97.9%] [ADLIB 1982/1] 野口五郎のクロスオーバー・アンテナ ●“感性”のドラマー、わが愛するリ...
(3) [Th: 97.1%] [ADLIB 1981/8] 野口五郎のクロスオーバーアンテナ ●プレイヤーズのライブを聴いて感じた...
(4) [Th: 95.8%] [ADLIB 1981/12] 野口五郎のクロスオーバーアンテナ ●ベースは“ベースの原点”にもどった...
(5) [Th: 92.6%] [ADLIB 1980/5] ...教えていただきたいのですが、 [個人情報] ○GRPオールスターズのステージでは、シブい、ギター・プレ...
(6) [Th: 87.9%] [ADLIB 1979/10] ...しいと思っているんですがね。 [個人情報]
(7) [Th: 87.3%] [ADLIB 1981/11] 野口五郎のクロスオーバーアンテナ ●プロフェット5のオーケストレーショ...
(8) [Th: 86.1%] [ADLIB 1980/0] ...もディ・メオラに注目したい。 [個人情報]"
17.0,20,17,7. 来日ミュージシャン・人間探訪 🇯🇵,ニューヨーク音楽見聞録,Top-Down (E→R),Eが9ヶ月先行,0.575773,0.00586637,0.224989,12.0,"サンボーン, ad, ポール・サイモン, spinoza, シーウィンド, 国際, ボサノバ, ニューヨーク, ビート, 五郎, ジョージ, 述べる, ハワイ, エリック, 良実",20.0,17.0,"(1) [Th: 98.7%] [ADLIB 1981/5] 野口五郎のクロスオーバーアンテナ ●16ビートのニオイがいっぱいのボサ...
(2) [Th: 98.6%] [ADLIB 1981/5] [個人情報] ●16ビートのニオイがいっぱいのボサノバってどうかな？ や...
(3) [Th: 98.1%] [ADLIB 1981/12] ★僕のN.Y.なんでも見聞記★ ●雑居都市ニューヨーク…… どういうわ...
(4) [Th: 98.0%] [ADLIB 1981/3] 野口五郎のクロスオーバーアンテナ ●オーディオって自分の大好きな“味”...
(5) [Th: 97.9%] [ADLIB 1981/7] ★僕のN.Y.なんでも見聞記★ ●“粋さ”ってどんなもの? 今年ではや...
(6) [Th: 97.5%] [ADLIB 1981/6] 野口五郎のクロスオーバーアンテナ ●頭の中がバケーションなんてスピノザ...
(7) [Th: 97.4%] [ADLIB 1981/3] ★僕のN.Y.なんでも見聞記★ ●24丁目バンドを通して見たN.Y.の...
(8) [Th: 96.0%] [ADLIB 1980/10] ★僕のN.Y.なんでも見聞記★ ●愛すべきニューヨーカーたち 今回は、..."
18.0,20,18,5. ブラックミュージック・ジャンル論 ✊,ファンク！黒人音楽の深層,No Interaction,同時/なし,0.751495,0.0513393,0.185645,1.0,"ファンク, cti, モダン・ジャズ, 発展, とらえる, 小生, ブラック・ミュージック, sa, 年代, tdk, 定価, 黒人, 著者, ブラック, 発刊",20.0,18.0,"(1) [Th: 95.5%] [ADLIB 1974/10] ●カケダシ釣人が銀鱗に舞う若鮎（アユ）を求めて新緑の渓谷にトブ釣りを楽...
(2) [Th: 95.0%] [ADLIB 1978/4] ●TDKのSAシリーズがさらによくなったソ ジャズ=クロスオーバーやソ...
(3) [Th: 94.9%] [ADLIB 1976/7] ...コ・サウンズはありえますか？ [個人情報] ○ウーン！まいったナ。こういう素朴というか、抽象的な質問に...
(4) [Th: 94.8%] [ADLIB 1978/4] ●TDKのSAシリーズがさらによくなったゾ ジャズ＝クロスオーバーやソ...
(5) [Th: 93.7%] [ADLIB 1980/6] ●クロスオーバー型人間の発想 『クロスオーバー型人間の発想』ークロスオ...
(6) [Th: 93.5%] [ADLIB 1981/11] BOOK 「コピーライターの世界」 本号の特別企画“CMと僕らの音楽”...
(7) [Th: 93.3%] [ADLIB 1981/5] ...そう思いませんか?ではまた! [個人情報] ペンネーム、“Captain Max”吉野文昭
(8) [Th: 93.3%] [ADLIB 1981/5] ...そう思いませんか?ではまた! [個人情報] ペンネーム、“Captain Max”吉野文昭"
19.0,20,19,2. ライブ・イベント・コンサート情報 🏟️,洋楽来日！全国コンサート,No Interaction,Rが9ヶ月先行,-0.373436,0.71466,0.551462,1.0,"名古屋, 問い合わせ, 会館, キョードー東京, 中野サンプラザホール, フェスティバルホール, 厚生年金会館, 市民, 東京, 中野サンプラザ, ホール, 福岡, 県民, 横浜, 公会堂",20.0,19.0,"(1) [Th: 98.2%] [ADLIB 1978/1] ★ソフトーンズ ソフトでメロウな3人組ソフトーンズが3度目の来日をし、...
(2) [Th: 98.1%] [ADLIB 1978/10] ●ハービー・ハンコック ハービー・ハンコックがニュー・グループを率いて...
(3) [Th: 98.0%] [ADLIB 1977/1] ★ソフトーンズ 1月18日（火）東京 中野サンプラザ 1月19日（水）...
(4) [Th: 98.0%] [ADLIB 1976/7] ★スリー・ディグリーズ - 6月17日(木)静岡 駿府会館 - 6月1...
(5) [Th: 97.8%] [ADLIB 1979/10] ★ケニー・ロギンス ロギンス&メッシーナ解散後もソロとして活躍中のAO...
(6) [Th: 97.7%] [ADLIB 1979/10] ★イーグルス 〈呪われた夜〉〈ホテル・カリフォルニア〉の大ヒットを放っ...
(7) [Th: 97.5%] [ADLIB 1979/4] ★笠井紀美子 ハービー・ハンコックらを迎えてレコーディングした新作「バ...
(8) [Th: 97.3%] [ADLIB 1979/4] ★マイケル・フランクス 語りかけるようなメロウなボーカルを聞かせてくれ..."
20.0,20,20,5. ブラックミュージック・ジャンル論 ✊,洗練サウンドの深層探求,No Interaction,Eが11ヶ月先行,-0.422808,0.909466,0.598489,1.0,"マイルス, まま, クインシー, ブラインドフォールドテスト, スティーリー・ダン, toto, ソフト, アルバム, コルトレーン, プロデュース, メロウ, ap, 愛のコリーダ, マイルス・デイビス, ジョン・コルトレーン",20.0,20.0,"(1) [Th: 98.3%] [ADLIB 1981/1] 野口五郎のクロスオーバーアンテナ ●この1年いろんなサウンドに熱中した...
(2) [Th: 98.1%] [ADLIB 1981/10] 野口五郎のクロスオーバーアンテナ ●ボクにとっての“マイルスの第1作目...
(3) [Th: 93.9%] [ADLIB 1981/2] 僕★の愛★聴★盤 ●その11ウォーレン・バーンハートの巻 昔から愛聴し...
(4) [Th: 93.4%] [ADLIB 1980/12] ●僕の愛聴盤 ●その9 エリック・ゲイルの巻 今もいつも聴いてるという...
(5) [Th: 92.7%] [ADLIB 1979/7] ●ハービーよ、昔に戻って!! 22号で私はハービーの「サンライト」につ...
(6) [Th: 92.2%] [ADLIB 1980/8] 僕の愛聴盤 ●その6 マーカス・ミラーの場合 マイルス・デイビス（tp...
(7) [Th: 92.1%] [ADLIB 1980/5] 僕★の愛★聴★盤 その3 トム・ブラウンの場合 愛聴盤かい？僕の場合は...
(8) [Th: 91.4%] [ADLIB 1981/12] 僕の愛聴盤 ●その21 バーナード・ライト ひとつ大好きな曲がある。ジ..."
